Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1941,14,Sound Recording,1,"General Service Sound Department, Jack Whitney, Sound Director",,That Hamilton Woman,
1941,14,Actress in a Supporting Role,1,Mary Astor,,The Great Lie,
1942,15,Special Award,1,Metro-Goldwyn-Mayer,,Andy Hardy,
1942,15,Short Subject (Two Reel),1,Warner Brothers,,Beyond the Line of Duty,
1942,15,Short Subject (Cartoon),1,"Walt Disney, Producer",,Der Fuehrer's Face,
1942,15,Music (Song),1,Music and Lyrics by Irving Berlin,"""White Christmas""",Holiday Inn,
1942,15,Special Award,1,Noel Coward,,In Which We Serve,
1942,15,Actor in a Supporting Role,1,Van Heflin,,Johnny Eager,
1942,15,Documentary,1,Australian News & Information Bureau,,Kokoda Front Line!,
1942,15,Documentary,1,Artkino,,Moscow Strikes Back,
1942,15,Actress,1,Greer Garson,,Mrs. Miniver,tt0035093
1942,15,Actress in a Supporting Role,1,Teresa Wright,,Mrs. Miniver,tt0035093
1942,15,Cinematography (Black and White),1,Joseph Ruttenberg,,Mrs. Miniver,tt0035093
1942,15,Directing,1,William Wyler,,Mrs. Miniver,tt0035093
1942,15,Outstanding Motion Picture,1,Metro-Goldwyn-Mayer,,Mrs. Miniver,tt0035093
1942,15,Writing (Screenplay),1,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",,Mrs. Miniver,tt0035093
1942,15,Art Direction (Color),1,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little",,My Gal Sal,
1942,15,Irving G. Thalberg Memorial Award,1,Sidney Franklin,,NA,NA
1942,15,Special Award,1,Charles Boyer,,NA,NA
1942,15,Music (Music Score of a Dramatic or Comedy Picture),1,Max Steiner,,"Now, Voyager",
1942,15,Documentary,1,United States Army Special Services,,Prelude to War,
1942,15,Special Effects,1,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",,Reap the Wild Wind,
1942,15,Short Subject (One Reel),1,Paramount,,Speaking of Animals and Their Families,
1942,15,Documentary,1,United States Navy,,The Battle of Midway,
1942,15,Cinematography (Color),1,Leon Shamroy,,The Black Swan,
1942,15,Writing (Original Motion Picture Story),1,Emeric Pressburger,,The Invaders,
1942,15,Film Editing,1,Daniel Mandell,,The Pride of the Yankees,
1942,15,Art Direction (Black and White),1,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little",,This above All,
1942,15,Writing (Original Screenplay),1,"Ring Lardner, Jr., Michael Kanin",,Woman of the Year,
1942,15,Actor,1,James Cagney,,Yankee Doodle Dandy,
1942,15,Music (Scoring of a Musical Picture),1,"Ray Heindorf, Heinz Roemheld",,Yankee Doodle Dandy,
1942,15,Sound Recording,1,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",,Yankee Doodle Dandy,
1943,16,Film Editing,1,George Amy,,Air Force,
1943,16,Short Subject (One Reel),1,"Grantland Rice, Producer",,Amphibious Fighters,
1943,16,Directing,1,Michael Curtiz,,Casablanca,
1943,16,Outstanding Motion Picture,1,Warner Brothers,,Casablanca,
1943,16,Writing (Screenplay),1,"Julius J. Epstein, Philip G. Epstein, Howard Koch",,Casablanca,
1943,16,Special Effects,1,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,,Crash Dive,
1943,16,Documentary (Short Subject),1,United States Navy,,December 7th,
1943,16,Documentary (Feature),1,British Ministry of Information,,Desert Victory,
1943,16,Actress in a Supporting Role,1,Katina Paxinou,,For Whom the Bell Tolls,
1943,16,Short Subject (Two Reel),1,"Jerry Bresler and Sam Coslow, Producers",,Heavenly Music,
