"Year","Ceremony","Award","Winner","Recipient","Song","Film","IMDBid.x","IMDBid.y","ItemYear","ItemRuntime"
"1941",14,"Music (Song)",1,"Music by Jerome Kern; Lyrics by Oscar Hammerstein II","""The Last Time I Saw Paris""","Lady Be Good",NA,"tt0033803","1941","112 min"
"1941",14,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"Lend a Paw",NA,"tt0033824","1941","8 min"
"1941",14,"Short Subject (Two Reel)",1,"Metro-Goldwyn-Mayer",NA,"Main Street on the March!",NA,"tt0033866","1941","20 min"
"1941",14,"Short Subject (One Reel)",1,"Metro-Goldwyn-Mayer",NA,"Of Pups and Puzzles",NA,"tt0033969","1941","10 min"
"1941",14,"Actor",1,"Gary Cooper",NA,"Sergeant York",NA,"tt0034167","1941","134 min"
"1941",14,"Film Editing",1,"William Holmes",NA,"Sergeant York",NA,"tt0034167","1941","134 min"
"1941",14,"Actress",1,"Joan Fontaine",NA,"Suspicion",NA,"tt0034248","1941","99 min"
"1941",14,"Special Award",1,"The British Ministry of Information",NA,"Target for Tonight",NA,NA,NA,NA
"1941",14,"Sound Recording",1,"General Service Sound Department, Jack Whitney, Sound Director",NA,"That Hamilton Woman",NA,"tt0034272","1941","125 min"
"1941",14,"Actress in a Supporting Role",1,"Mary Astor",NA,"The Great Lie",NA,"tt0033677","1941","108 min"
"1942",15,"Special Award",1,"Metro-Goldwyn-Mayer",NA,"Andy Hardy",NA,NA,NA,NA
"1942",15,"Short Subject (Two Reel)",1,"Warner Brothers",NA,"Beyond the Line of Duty",NA,"tt0034511","1942","22 min"
"1942",15,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"Der Fuehrer's Face",NA,"tt0035794","1942","8 min"
"1942",15,"Music (Song)",1,"Music and Lyrics by Irving Berlin","""White Christmas""","Holiday Inn",NA,"tt0034862","1942","100 min"
"1942",15,"Special Award",1,"Noel Coward",NA,"In Which We Serve",NA,NA,NA,NA
"1942",15,"Actor in a Supporting Role",1,"Van Heflin",NA,"Johnny Eager",NA,"tt0033774","1941","107 min"
"1942",15,"Documentary",1,"Australian News & Information Bureau",NA,"Kokoda Front Line!",NA,"tt0034951","1942","9 min"
"1942",15,"Documentary",1,"Artkino",NA,"Moscow Strikes Back",NA,"tt0035085","1942","55 min"
"1942",15,"Art Direction (Color)",1,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little",NA,"My Gal Sal",NA,"tt0035103","1942","103 min"
"1942",15,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Max Steiner",NA,"Now, Voyager",NA,"tt0035140","1942","117 min"
"1942",15,"Documentary",1,"United States Army Special Services",NA,"Prelude to War",NA,NA,NA,NA
"1942",15,"Special Effects",1,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",NA,"Reap the Wild Wind",NA,"tt0035244","1942","123 min"
"1942",15,"Short Subject (One Reel)",1,"Paramount",NA,"Speaking of Animals and Their Families",NA,"tt0035366","1942","8 min"
"1942",15,"Documentary",1,"United States Navy",NA,"The Battle of Midway",NA,"tt0034498","1942","18 min"
"1942",15,"Cinematography (Color)",1,"Leon Shamroy",NA,"The Black Swan",NA,"tt0034522","1942","87 min"
"1942",15,"Writing (Original Motion Picture Story)",1,"Emeric Pressburger",NA,"The Invaders",NA,NA,NA,NA
"1942",15,"Film Editing",1,"Daniel Mandell",NA,"The Pride of the Yankees",NA,"tt0035211","1942","128 min"
"1942",15,"Art Direction (Black and White)",1,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little",NA,"This above All",NA,NA,NA,NA
"1942",15,"Writing (Original Screenplay)",1,"Ring Lardner, Jr., Michael Kanin",NA,"Woman of the Year",NA,"tt0035567","1942","114 min"
"1942",15,"Actor",1,"James Cagney",NA,"Yankee Doodle Dandy",NA,"tt0035575","1942","126 min"
"1942",15,"Music (Scoring of a Musical Picture)",1,"Ray Heindorf, Heinz Roemheld",NA,"Yankee Doodle Dandy",NA,"tt0035575","1942","126 min"
"1942",15,"Sound Recording",1,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",NA,"Yankee Doodle Dandy",NA,"tt0035575","1942","126 min"
"1943",16,"Film Editing",1,"George Amy",NA,"Air Force",NA,"tt0035616","1943","124 min"
"1943",16,"Short Subject (One Reel)",1,"Grantland Rice, Producer",NA,"Amphibious Fighters",NA,"tt0035634","1943","10 min"
"1943",16,"Directing",1,"Michael Curtiz",NA,"Casablanca",NA,"tt0034583","1942","102 min"
"1943",16,"Outstanding Motion Picture",1,"Warner Brothers",NA,"Casablanca",NA,"tt0034583","1942","102 min"
"1943",16,"Writing (Screenplay)",1,"Julius J. Epstein, Philip G. Epstein, Howard Koch",NA,"Casablanca",NA,"tt0034583","1942","102 min"
"1943",16,"Special Effects",1,"Photographic Effects by Fred Sersen; Sound Effects by Roger Heman",NA,"Crash Dive",NA,"tt0035763","1943","106 min"
"1943",16,"Documentary (Short Subject)",1,"United States Navy",NA,"December 7th",NA,"tt0035790","1943","82 min"
"1943",16,"Documentary (Feature)",1,"British Ministry of Information",NA,"Desert Victory",NA,"tt0035796","1943","62 min"
"1943",16,"Actress in a Supporting Role",1,"Katina Paxinou",NA,"For Whom the Bell Tolls",NA,"tt0035896","1943","170 min"
"1943",16,"Short Subject (Two Reel)",1,"Jerry Bresler and Sam Coslow, Producers",NA,"Heavenly Music",NA,"tt0035981","1943","22 min"
"1943",16,"Music (Song)",1,"Music by Harry Warren; Lyrics by Mack Gordon","""You'll Never Know""","Hello, Frisco, Hello",NA,NA,NA,NA
"1943",16,"Art Direction (Color)",1,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb",NA,"Phantom of the Opera",NA,"tt0036261","1943","92 min"
"1943",16,"Cinematography (Color)",1,"Hal Mohr, W. Howard Greene",NA,"Phantom of the Opera",NA,"tt0036261","1943","92 min"
"1943",16,"Writing (Original Screenplay)",1,"Norman Krasna",NA,"Princess O'Rourke",NA,"tt0036277","1943","94 min"
"1943",16,"Writing (Original Motion Picture Story)",1,"William Saroyan",NA,"The Human Comedy",NA,"tt0036022","1943","117 min"
"1943",16,"Actor in a Supporting Role",1,"Charles Coburn",NA,"The More the Merrier",NA,"tt0036172","1943","104 min"
"1943",16,"Actress",1,"Jennifer Jones",NA,"The Song of Bernadette",NA,"tt0036377","1943","156 min"
"1943",16,"Art Direction (Black and White)",1,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little",NA,"The Song of Bernadette",NA,"tt0036377","1943","156 min"
"1943",16,"Cinematography (Black and White)",1,"Arthur Miller",NA,"The Song of Bernadette",NA,"tt0036377","1943","156 min"
"1943",16,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Alfred Newman",NA,"The Song of Bernadette",NA,"tt0036377","1943","156 min"
"1943",16,"Music (Scoring of a Musical Picture)",1,"Ray Heindorf",NA,"This Is the Army",NA,"tt0036430","1943","121 min"
"1943",16,"Sound Recording",1,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",NA,"This Land Is Mine",NA,"tt0036431","1943","103 min"
"1943",16,"Actor",1,"Paul Lukas",NA,"Watch on the Rhine",NA,"tt0036515","1943","114 min"
"1943",16,"Short Subject (Cartoon)",1,"Frederick Quimby, Producer",NA,"Yankee Doodle Mouse",NA,NA,NA,NA
"1944",17,"Music (Scoring of a Musical Picture)",1,"Morris Stoloff, Carmen Dragon",NA,"Cover Girl",NA,"tt0036723","1944","107 min"
"1944",17,"Actress",1,"Ingrid Bergman",NA,"Gaslight",NA,"tt0036855","1944","114 min"
"1944",17,"Art Direction (Black and White)",1,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky",NA,"Gaslight",NA,"tt0036855","1944","114 min"
"1944",17,"Short Subject (Two Reel)",1,"Gordon Hollingshead, Producer",NA,"I Won't Play",NA,"tt0036939","1944","18 min"
"1944",17,"Cinematography (Black and White)",1,"Joseph LaShelle",NA,"Laura",NA,"tt0037008","1944","88 min"
"1944",17,"Short Subject (Cartoon)",1,"Frederick C. Quimby, Producer",NA,"Mouse Trouble",NA,"tt0037090","1944","7 min"
"1944",17,"Actress in a Supporting Role",1,"Ethel Barrymore",NA,"None but the Lonely Heart",NA,NA,NA,NA
