"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName"
"Best Writing, Adaptation",NA,"Horace Jackson","04-1931","tt0020985","Holiday","nm0413590","Horace Jackson",NA,NA
"Best Writing, Adaptation",NA,"Francis Edward Faragoh, Robert N. Lee","04-1931","tt0021079","Little Caesar","nm0267020","Francis Edward Faragoh",NA,NA
"Best Writing, Adaptation",NA,"Francis Edward Faragoh, Robert N. Lee","04-1931","tt0021079","Little Caesar","nm0498133","Robert N. Lee",NA,NA
"Best Writing, Adaptation",NA,"Joseph L. Mankiewicz, Sam Mintz","04-1931","tt0022397","Skippy","nm0000581","Joseph L. Mankiewicz",NA,NA
"Best Writing, Adaptation",NA,"Joseph L. Mankiewicz, Sam Mintz","04-1931","tt0022397","Skippy","nm0591791","Sam Mintz",NA,NA
"Best Writing, Adaptation",NA,"Seton I. Miller, Fred Niblo Jr.","04-1931","tt0021770","The Criminal Code","nm0589316","Seton I. Miller",NA,NA
"Best Writing, Adaptation",NA,"Seton I. Miller, Fred Niblo Jr.","04-1931","tt0021770","The Criminal Code","nm0629240","Fred Niblo Jr.",NA,NA
"Best Writing, Original Story","Winner","John Monk Saunders","04-1931","tt0020815","The Dawn Patrol","nm0766850","John Monk Saunders",NA,NA
"Best Writing, Original Story",NA,"Harry d'Abbadie d'Arrast, Douglas Z. Doty, Donald Ogden Stewart","04-1931","tt0021053","Laughter","nm0195496","Harry d'Abbadie d'Arrast",NA,NA
"Best Writing, Original Story",NA,"Harry d'Abbadie d'Arrast, Douglas Z. Doty, Donald Ogden Stewart","04-1931","tt0021053","Laughter","nm0234608","Douglas Z. Doty",NA,NA
"Best Writing, Original Story",NA,"Harry d'Abbadie d'Arrast, Douglas Z. Doty, Donald Ogden Stewart","04-1931","tt0021053","Laughter","nm0829330","Donald Ogden Stewart",NA,NA
"Best Writing, Original Story",NA,"Lucien Hubbard, Joseph Jackson","04-1931","tt0022403","Smart Money","nm0399203","Lucien Hubbard",NA,NA
"Best Writing, Original Story",NA,"Lucien Hubbard, Joseph Jackson","04-1931","tt0022403","Smart Money","nm0413711","Joseph Jackson",NA,NA
"Best Writing, Original Story",NA,"Rowland Brown","04-1931","tt0020836","The Doorway to Hell","nm0114602","Rowland Brown",NA,NA
"Best Writing, Original Story",NA,"John Bright, Kubec Glasmon","04-1931","tt0022286","The Public Enemy","nm0109148","John Bright",NA,NA
"Best Writing, Original Story",NA,"John Bright, Kubec Glasmon","04-1931","tt0022286","The Public Enemy","nm0321891","Kubec Glasmon",NA,NA
"Best Actor in a Leading Role","Winner","Dr. Jekyll and Mr. Hyde","05-1932","tt0022835","Dr. Jekyll and Mr. Hyde","nm0545298","Fredric March",NA,NA
"Best Actor in a Leading Role","Winner","The Champ","05-1932","tt0021730","The Champ","nm0000891","Wallace Beery",NA,NA
"Best Actor in a Leading Role",NA,"The Guardsman","05-1932","tt0021931","The Guardsman","nm0526795","Alfred Lunt",NA,NA
"Best Actress in a Leading Role","Winner","The Sin of Madelon Claudet","05-1932","tt0022386","The Sin of Madelon Claudet","nm0371040","Helen Hayes",NA,NA
"Best Actress in a Leading Role",NA,"The Guardsman","05-1932","tt0021931","The Guardsman","nm0285007","Lynn Fontanne",NA,NA
"Best Actress in a Leading Role",NA,"Emma","05-1932","tt0022854","Emma","nm0237597","Marie Dressler",NA,NA
"Best Art Direction","Winner","Gordon Wiles","05-1932","tt0022500","Transatlantic","nm0928781","Gordon Wiles",NA,NA
"Best Art Direction",NA,"Richard Day","05-1932","tt0021622","Arrowsmith","nm0206554","Richard Day",NA,NA
"Best Art Direction",NA,"Lazare Meerson","05-1932","tt0022599","Ã nous la libertÃ©","nm0576226","Lazare Meerson",NA,NA
"Best Cinematography","Winner","Lee Garmes","05-1932","tt0023458","Shanghai Express","nm0005716","Lee Garmes",NA,NA
"Best Cinematography",NA,"Ray June","05-1932","tt0021622","Arrowsmith","nm0432482","Ray June",NA,NA
"Best Cinematography",NA,"Karl Struss","05-1932","tt0022835","Dr. Jekyll and Mr. Hyde","nm0835365","Karl Struss",NA,NA
