"AwardCategory","AwardWinner","PrimaryTitle","PrimaryID","SecondaryName.list","AwardCeremony","SecondaryID","SecondaryName","AwardCategory.y"
"Best Actor in a Leading Role",NA,"Lewis Stone","name/nm0832011","The Patriot","02-1930","title/tt0019257","The Patriot","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Paul Muni","name/nm0612847","The Valiant","02-1930","title/tt0020543","The Valiant","Best Actor in a Leading Role"
"Best Actress in a Leading Role","Winner","Mary Pickford","name/nm0681933","Coquette","02-1930","title/tt0019788","Coquette","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Bessie Love","name/nm0522281","The Broadway Melody","02-1930","title/tt0019729","The Broadway Melody","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Betty Compson","name/nm0173993","The Barker","02-1930","title/tt0018674","The Barker","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Corinne Griffith","name/nm0341464","The Divine Lady","02-1930","title/tt0019824","The Divine Lady","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Jeanne Eagels","name/nm0247074","The Letter","02-1930","title/tt0020092","The Letter","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Ruth Chatterton","name/nm0154183","Madame X","02-1930","title/tt0020126","Madame X","Best Actress in a Leading Role"
"Best Art Direction","Winner","The Bridge of San Luis Rey","title/tt0019722","Cedric Gibbons","02-1930","name/nm0316539","Cedric Gibbons","Best Art Direction"
"Best Art Direction",NA,"Alibi","title/tt0019630","William Cameron Menzies","02-1930","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction",NA,"Alibi","title/tt0019630","William Cameron Menzies","02-1930","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction",NA,"Dynamite","title/tt0019843","Mitchell Leisen","02-1930","name/nm0500552","Mitchell Leisen","Best Art Direction"
"Best Art Direction",NA,"Street Angel","title/tt0019429","Harry Oliver","02-1930","name/nm0646856","Harry Oliver","Best Art Direction"
"Best Art Direction",NA,"The Awakening","title/tt0018666","William Cameron Menzies","02-1930","name/nm0580017","William Cameron Menzies","Best Art Direction"
