"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"High and Low","tt0057565","1963","143 min"
"The High and the Mighty","tt0047086","1954","147 min"
"High Art","tt0139362","1998","101 min"
"High Hopes","tt0095302","1988","108 min"
"High Noon","tt0044706","1952","85 min"
"High Sierra","tt0033717","1941","100 min"
"The Hill","tt0059274","1965","123 min"
"Hiroshima Mon Amour","tt0052893","1959","90 min"
"His Girl Friday","tt0032599","1940","92 min"
"The Homecoming","tt0070188","1973","111 min"
"Hoop Dreams","tt0110057","1994","170 min"
"Hope and Glory","tt0093209","1987","113 min"
"Hôtel Terminus","tt0095341","1988","267 min"
"The Hours","tt0274558","2002","110 min"
"Household Saints","tt0107152","1993","124 min"
"House of Games","tt0093223","1987","102 min"
"How Green Was My Valley","tt0033729","1941","118 min"
"How to Marry a Millionaire","tt0045891","1953","95 min"
"Howards End","tt0104454","1992","142 min"
"Hud","tt0057163","1963","112 min"
"Huey Long","tt0089310","1985","88 min"
"Husbands and Wives","tt0104466","1992","108 min"
"The Hustler","tt0054997","1961","134 min"
"I Know Where I'm Going!","tt0037800","1945","92 min"
"I Remember Mama","tt0040458","1948","134 min"
"I Want to Live!","tt0051758","1958","120 min"
"If....","tt0063850","1968","111 min"
"Ikiru","tt0044741","1952","143 min"
"I'm All Right Jack","tt0052911","1959","105 min"
"Imitation of Life","tt0052918","1959","125 min"
"In Cold Blood","tt0061809","1967","134 min"
"In the Bedroom","tt0247425","2001","131 min"
"In the Heat of the Night","tt0061811","1967","110 min"
"The Informer","tt0026529","1935","91 min"
"Inherit the Wind","tt0053946","1960","128 min"
"The Insider","tt0140352","1999","157 min"
"Internal Affairs","tt0099850","1990","115 min"
"The Ipcress File","tt0059319","1965","109 min"
"It Happened One Night","tt0025316","1934","105 min"
"It's a Gift","tt0025318","1934","68 min"
"It's a Wonderful Life","tt0038650","1946","130 min"
"Jailhouse Rock","tt0050556","1957","96 min"
"Jaws","tt0073195","1975","124 min"
"The Jazz Singer","tt0018037","1927","88 min"
"Jean de Florette","tt0091288","1986","120 min"
"Jerry Maguire","tt0116695","1996","139 min"
"Johnny Guitar","tt0047136","1954","110 min"
"The Judge and the Assassin","tt0073219","1976","128 min"
"Judgment at Nuremberg","tt0055031","1961","179 min"
"Ju Dou","tt0099902","1990","95 min"
"Jules and Jim","tt0055032","1962","105 min"
"Juliet of the Spirits","tt0059229","1965","137 min"
"Junior Bonner","tt0068786","1972","100 min"
"Kagemusha","tt0080979","1980","162 min"
"The Killers","tt0038669","1946","103 min"
"The Killing Fields","tt0087553","1984","141 min"
"Kind Hearts and Coronets","tt0041546","1949","106 min"
"The King and I","tt0049408","1956","133 min"
"King Kong","tt0024216","1933","100 min"
"King Lear","tt0067306","1970","137 min"
"The King of Comedy","tt0085794","1982","109 min"
"The King of Marvin Gardens","tt0068805","1972","103 min"
"Kiss of the Spider Woman","tt0089424","1985","120 min"
"Klute","tt0067309","1971","114 min"
"Knife in the Water","tt0056291","1962","94 min"
"Kramer vs. Kramer","tt0079417","1979","105 min"
"L.A. Confidential","tt0119488","1997","138 min"
"Lacombe, Lucien","tt0071733","1974","138 min"
"The Lady Eve","tt0033804","1941","94 min"
"The Lady Vanishes","tt0030341","1938","96 min"
"Ladybird Ladybird","tt0110296","1994","101 min"
"Lamerica","tt0110299","1994","116 min"
"The Last American Hero","tt0070287","1973","95 min"
"The Last Emperor","tt0093389","1987","163 min"
"The Last Metro","tt0080610","1980","131 min"
"The Last Picture Show","tt0067328","1971","118 min"
"The Last Seduction","tt0110308","1994","110 min"
"Last Tango in Paris","tt0070849","1972","129 min"
"The Last Temptation of Christ","tt0095497","1988","164 min"
"The Last Waltz","tt0077838","1978","117 min"
"Laura","tt0037008","1944","88 min"
"The Lavender Hill Mob","tt0044829","1951","78 min"
"Lawrence of Arabia","tt0056172","1962","228 min"
"A League of Their Own","tt0104694","1992","128 min"
"Leaving Las Vegas","tt0113627","1995","111 min"
"The Leopard","tt0057091","1963","186 min"
"The Letter","tt0032701","1940","95 min"
"A Letter to Three Wives","tt0041587","1949","103 min"
"Les liaisons dangereuses","tt0053002","1959","106 min"
"The Life and Death of Colonel Blimp","tt0036112","1943","163 min"
"Life Is Sweet","tt0100024","1990","103 min"
"The Life of Emile Zola","tt0029146","1937","116 min"
"Life with Father","tt0039566","1947","118 min"
"Like Water for Chocolate","tt0103994","1992","105 min"
"Lili","tt0046000","1953","81 min"
"Little Big Man","tt0065988","1970","139 min"
"Little Caesar","tt0021079","1931","79 min"
"The Little Foxes","tt0033836","1941","116 min"
"Little Fugitive","tt0046004","1953","75 min"
"The Little Kidnappers","tt0046006","1953","93 min"
"Little Vera","tt0095574","1988","110 min"
"Little Women","tt0024264","1933","115 min"
"Little Women","tt0110367","1994","115 min"
"The Lives of a Bengal Lancer","tt0026643","1935","109 min"
"Living in Oblivion","tt0113677","1995","90 min"
"Local Hero","tt0085859","1983","111 min"
"Lola","tt0082671","1981","115 min"
"Lola Montès","tt0048308","1955","116 min"
"Lolita","tt0056193","1962","153 min"
"Lone Star","tt0116905","1996","135 min"
"The Loneliness of the Long Distance Runner","tt0056194","1962","104 min"
"Long Day's Journey Into Night","tt0056196","1962","174 min"
"The Long Goodbye","tt0070334","1973","112 min"
"The Long Good Friday","tt0081070","1980","114 min"
"The Long Voyage Home","tt0032728","1940","105 min"
"The Longest Day","tt0056197","1962","178 min"
"Look Back in Anger","tt0051879","1959","98 min"
"Lost Horizon","tt0029162","1937","132 min"
"Lost in America","tt0089504","1985","91 min"
"The Lost Weekend","tt0037884","1945","101 min"
"Love","tt0067814","1971","88 min"
"Love Affair","tt0031593","1939","88 min"
"Love and Death","tt0073312","1975","85 min"
"A Love in Germany","tt0085843","1983","110 min"
"Love in the Afternoon","tt0050658","1957","130 min"
"Lovely & Amazing","tt0258273","2001","91 min"
"Love on the Run","tt0078771","1979","94 min"
"Lover Come Back","tt0055100","1961","107 min"
"The Lovers","tt0052556","1958","90 min"
"A Blonde in Love","tt0059415","1965","88 min"
"Loving","tt0066017","1970","89 min"
"Lust for Life","tt0049456","1956","122 min"
"M","tt0022100","1931","99 min"
"Mad Max","tt0079501","1979","88 min"
"The Madness of King George","tt0110428","1994","110 min"
"The Magic Flute","tt0073822","1975","135 min"
"The Major and the Minor","tt0035019","1942","100 min"
"Major Barbara","tt0033868","1941","121 min"
"Make Way for Tomorrow","tt0029192","1937","91 min"
"Malcolm X","tt0104797","1992","202 min"
"The Maltese Falcon","tt0033870","1941","100 min"
"A Man for All Seasons","tt0060665","1966","120 min"
"Man Hunt","tt0033873","1941","105 min"
"The Man Who Came to Dinner","tt0033874","1942","112 min"
"The Man Who Loved Women","tt0076155","1977","120 min"
"The Man Who Wasn't There","tt0243133","2001","116 min"
"The Man with the Golden Arm","tt0048347","1955","119 min"
"The Manchurian Candidate","tt0056218","1962","126 min"
"Manhattan","tt0079522","1979","96 min"
"Manon of the Spring","tt0091480","1986","113 min"
"Marriage Italian Style","tt0058335","1964","102 min"
"Married to the Mob","tt0095593","1988","104 min"
"The Marrying Kind","tt0044888","1952","92 min"
"Marty","tt0048356","1955","90 min"
"Mary Poppins","tt0058331","1964","139 min"
"MASH","tt0066026","1970","116 min"
"The Match Factory Girl","tt0098532","1990","69 min"
